E10,E11,E12,F10,F11,F12,G10,G11,G12,WELLNUM,Time,Timeadj
1,1,1,1,1,1,1,1,1,1,0,30
0.594632768,0.824703681,0.669191919,0.835493519,0.813861386,0.734836703,0.836363636,0.767369727,0.646666667,2,30,60
0.586158192,0.733000624,0.607744108,0.729810568,0.733333333,0.637636081,0.804545455,0.766129032,0.580952381,3,60,90
0.463276836,0.735495945,0.550505051,0.703888335,0.740594059,0.557542768,0.748863636,0.758684864,0.591428571,4,90,120
0.365819209,0.720524017,0.521885522,0.583250249,0.666666667,0.521772939,0.651136364,0.713399504,0.447619048,5,120,150
0.36440678,0.72613849,0.528619529,0.564307079,0.655445545,0.458009331,0.606818182,0.655707196,0.394285714,6,150,180
0.261299435,0.683718029,0.493265993,0.551345962,0.658085809,0.431570762,0.567045455,0.723945409,0.444761905,7,180,210
0.262711864,0.611977542,0.414141414,0.458624128,0.603960396,0.428460342,0.5625,0.694168734,0.412380952,8,210,240
0.206214689,0.58827199,0.037037037,0.1555334,0.656105611,0.062986003,0.117045455,0.78101737,0,9,443,270
0.155367232,0.524641298,0.021885522,0,0.455445545,0,0.009090909,0.571960298,0.022857143,10,473,300
0.033898305,0.330630069,0,0.046859422,0.368316832,0.029548989,0,0.339330025,0.005714286,11,503,330
0.031073446,0.250155958,0.045454545,0.004985045,0.281188119,0.090202177,0.085227273,0.2617866,0.047619048,12,533,360
0,0.219588272,0.10016835,0.025922233,0.177557756,0.093312597,0.077272727,0.227667494,0.059047619,13,563,390
0.056497175,0.1378665,0.047979798,0.093718843,0.174257426,0.081648523,0.123863636,0.194789082,0.035238095,14,593,420
0.04519774,0.133499688,0.111111111,0.094715852,0.151815182,0.136858476,0.148863636,0.196650124,0.092380952,15,623,450
0.070621469,0.132875858,0.143097643,0.103688933,0.137953795,0.149300156,0.106818182,0.151985112,0.064761905,16,653,480
0.052259887,0.149095446,0.146464646,0.150548355,0.165016502,0.160186625,0.176136364,0.129032258,0.095238095,17,683,510
0.053672316,0.109170306,0.163299663,0.11665005,0.092409241,0.1562986,0.115909091,0.076923077,0.108571429,18,713,540
0.040960452,0.129132876,0.201178451,0.151545364,0.096369637,0.158631415,0.15,0.123449132,0.075238095,19,743,570
0.056497175,0.140985652,0.154040404,0.183449651,0.133993399,0.167962675,0.142045455,0.051488834,0.102857143,20,773,600
0.086158192,0.075483468,0.18013468,0.181455633,0.084488449,0.185847589,0.178409091,0.097394541,0.12,21,803,630
0.074858757,0.119775421,0.230639731,0.164506481,0.056765677,0.16562986,0.160227273,0.117245658,0.064761905,22,833,660
0.040960452,0.11852776,0.191077441,0.190428714,0.093069307,0.187402799,0.196590909,0.062655087,0.140952381,23,863,690
0.117231638,0.071740487,0.169191919,0.173479561,0.057425743,0.17807154,0.221590909,0.065756824,0.136190476,24,893,720
0.032485876,0.112289457,0.241582492,0.148554337,0.036963696,0.189735614,0.163636364,0.019851117,0.11047619,25,923,750
0.057909605,0.05926388,0.204545455,0.220338983,0.088448845,0.198289269,0.251136364,0.098014888,0.131428571,26,953,780
0.121468927,0.094822208,0.181818182,0.247258225,0.093729373,0.204510109,0.217045455,0.05955335,0.167619048,27,983,810
0.072033898,0.045539613,0.184343434,0.163509472,0.02640264,0.215396579,0.232954545,0.101116625,0.196190476,28,1013,840
0.122881356,0.064254523,0.259259259,0.218344965,0.069966997,0.225505443,0.189772727,0.052109181,0.159047619,29,1043,870
0.161016949,0.03867748,0.191077441,0.195413759,0.053465347,0.247278383,0.165909091,0.064516129,0.163809524,30,1073,900
0.053672316,0.096069869,0.250841751,0.14556331,0,0.211508554,0.214772727,0.034119107,0.128571429,31,1103,930
0.066384181,0.026200873,0.172558923,0.250249252,0.066006601,0.190513219,0.235227273,0.051488834,0.166666667,32,1133,960
0.125706215,0.006862133,0.185185185,0.199401795,0.034323432,0.235614308,0.15,0.065756824,0.146666667,33,1163,990
0.09039548,0,0.199494949,0.190428714,0.038943894,0.220062208,0.239772727,0.04280397,0.191428571,34,1193,1020
0.111581921,0.024329382,0.175084175,0.209371884,0.032343234,0.204510109,0.219318182,0.027915633,0.160952381,35,1223,1050
0.139830508,0.002495321,0.186026936,0.189431705,0.038283828,0.235614308,0.248863636,0.074441687,0.172380952,36,1253,1080
0.06920904,0.076731129,0.242424242,0.177467597,0.022442244,0.241057543,0.223863636,0.056451613,0.182857143,37,1283,1110
0.108757062,0.061759201,0.224747475,0.248255234,0.052805281,0.230171073,0.213636364,0,0.146666667,38,1313,1140
0.105932203,0.050530256,0.181818182,0.231306082,0.029042904,0.236391913,0.207954545,0.008684864,0.162857143,39,1343,1170
0.064971751,0.040548971,0.244949495,0.183449651,0.011881188,0.237169518,0.248863636,0.019230769,0.187619048,40,1373,1200
