WELLNUM,Time,Timeadj,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,A5uAVG,B5uAVG,C5uAVG,Anorm,Bnorm,Cnorm
1,0,30,4532,4977,4675,6757,6859,6556,7783,7957,7912,9212,9056,9312,4365,4396,4651,6986,6784,6480,8275,7828,7695,9124,8960,8775,3817,3694,3753,5760,5807,5381,6751,6671,145,7889,7778,7267,8360.333333,8953,8193.444444,1.102989578,1,0.882912379
2,33,60,4447,4885,4618,6673,6739,6506,7639,7827,7770,8996,8898,8984,4312,4310,4576,6880,6727,6370,7949,7665,7593,8935,8803,8630,3758,3635,3713,5645,5710,5344,6618,6502,145,7786,7654,7133,8197.666667,8789.333333,8040,1.002605595,0.912477718,0.77525725
3,66,90,4391,4842,4544,6634,6655,6473,7586,7769,7714,8848,8758,8979,4281,4262,4507,6804,6677,6343,7898,7623,7508,8879,8759,8470,3710,3576,3663,5561,5644,5271,6579,6450,139,7769,7568,7051,8110.333333,8702.666667,7954.666667,0.948710916,0.866131907,0.715388213
4,99,120,4342,4768,4512,6501,6624,6435,7511,7717,7633,8776,8731,8933,4265,4248,4466,6749,6593,6294,7883,7571,7496,8738,8732,8405,3693,3557,3654,5564,5661,5300,6562,6405,143,7761,7552,7038,8042,8625,7901.666667,0.906541415,0.82459893,0.678203929
5,132,150,4353,4791,4496,6566,6552,6481,7528,7666,7658,8818,8647,8884,4280,4237,4471,6791,6648,6289,7877,7541,7460,8773,8709,8430,3683,3572,3610,5510,5567,5190,6536,6358,162,7728,7521,6986,8047.333333,8637.333333,7890.222222,0.909832693,0.831194296,0.670174618
6,165,180,4338,4741,4489,6505,6559,6415,7482,7692,7636,8768,8641,8884,4270,4222,4446,6810,6534,6247,7850,7461,7420,8661,8617,8389,3698,3562,3609,5530,5575,5232,6531,6333,187,7705,7434,6975,8032,8555.666667,7854.222222,0.900370269,0.787522282,0.644917368
7,198,210,4342,4732,4452,6477,6520,6325,7461,7644,7588,8689,8619,8842,4242,4225,4434,6780,6543,6231,7875,7512,7417,8705,8609,8382,3665,3541,3624,5530,5566,5214,6536,6376,183,7685,7473,6979,7973.666667,8565.333333,7839.333333,0.864371914,0.792691622,0.634471469
8,231,240,4312,4750,4439,6485,6488,6330,7415,7585,7524,8703,8573,8789,4225,4164,4424,6726,6495,6242,7875,7484,7368,8625,8526,8293,3643,3524,3582,5481,5553,5179,6469,6308,184,7626,7382,6987,7937.333333,8481.333333,7801.888889,0.841950082,0.747771836,0.608200811
9,1138,270,4017,4167,4008,5930,6070,5726,7061,7162,6817,7444,7304,7610,3812,3865,3977,5784,6009,5886,7296,7348,6661,7855,7686,7577,3329,3214,3213,4471,4538,4117,5089,4741,301,6220,5937,5610,7141,7706,6819,0.350521119,0.33315508,-0.081384471
10,1171,300,3978,4143,3959,5935,6041,5592,7022,7118,6770,7371,7248,7471,3699,3829,3885,5684,5899,5771,7125,7184,6515,7644,7524,7437,3306,3247,3200,4498,4405,4121,5049,4737,173,6175,5987,5639,7086.333333,7535,6753.444444,0.316785518,0.24171123,-0.127377611
11,1204,330,3954,4130,3957,5847,6040,5588,6996,7075,6730,7263,7141,7398,3661,3740,3828,5610,5839,5672,7034,7048,6440,7540,7417,7340,3306,3222,3216,4502,4406,4115,5037,4736,190,6152,5936,5593,7022.666667,7432.333333,6682.666667,0.277495886,0.186809269,-0.177034612
12,1237,360,3964,4140,3937,5892,6031,5566,7000,7060,6751,7206,7137,7339,3650,3715,3786,5618,5805,5665,6961,7016,6331,7461,7352,7285,3324,3262,3209,4519,4444,4101,5051,4728,175,6134,5908,5625,7005.666667,7366,6665.555556,0.267004937,0.151336898,-0.189039601
13,1270,390,3931,4095,3919,5896,6033,5562,6999,7098,6774,7177,7061,7303,3600,3707,3771,5518,5756,5607,6876,6931,6322,7385,7336,7206,3325,3218,3214,4526,4449,4135,5045,4733,182,6094,5914,5610,7016.333333,7309,6645.111111,0.273587493,0.120855615,-0.203383224
14,1303,420,3945,4130,3959,5877,6023,5599,6999,7111,6780,7148,7049,7313,3587,3708,3755,5544,5735,5582,6897,6949,6303,7420,7310,7254,3321,3218,3219,4502,4433,4117,5039,4736,166,6138,5937,5588,7013,7328,6643,0.271530444,0.131016043,-0.204864359
15,1336,450,3912,4112,3928,5866,5970,5591,7013,7071,6773,7120,7027,7273,3585,3683,3737,5515,5697,5531,6872,6880,6262,7374,7289,7213,3320,3248,3222,4518,4461,4135,5096,4773,177,6179,5967,5619,6988,7292,6633,0.256102578,0.111764706,-0.211880262
16,1369,480,3926,4094,3955,5822,6025,5646,6994,7100,6812,7146,7000,7203,3602,3714,3757,5537,5718,5551,6871,6921,6259,7380,7312,7210,3311,3226,3209,4522,4449,4164,5096,4784,174,6138,5910,5637,7019.333333,7300.666667,6652.333333,0.275438837,0.116399287,-0.198316183
17,1402,510,3941,4107,3952,5876,6040,5606,6986,7079,6816,7130,7038,7205,3543,3653,3708,5451,5653,5502,6808,6848,6245,7321,7169,7181,3340,3240,3231,4560,4482,4170,5055,4781,173,6148,6002,5610,7008.333333,7223.666667,6614,0.268650576,0.075222816,-0.225210477
18,1435,540,3900,4102,3942,5862,6028,5631,6986,7060,6769,7082,6995,7245,3566,3678,3718,5472,5657,5527,6806,6846,6260,7332,7262,7144,3321,3256,3205,4580,4465,4172,5077,4778,168,6181,5995,5643,6970.333333,7246,6619.777778,0.245200219,0.087165775,-0.221156844
19,1468,570,3926,4124,3969,5853,6037,5611,7020,7007,6770,7040,6921,7221,3575,3669,3701,5497,5652,5493,6798,6853,6221,7335,7212,7110,3314,3245,3236,4602,4494,4178,5106,4799,175,6158,6008,5661,6939,7219,6606.333333,0.225863961,0.072727273,-0.230589336
20,1501,600,3921,4133,3970,5867,6066,5647,7041,7023,6787,7167,6964,7247,3580,3707,3692,5443,5632,5509,6830,6820,6264,7291,7233,7170,3322,3255,3219,4568,4487,4215,5118,4794,173,6193,6025,5622,6992.333333,7231.333333,6615.222222,0.258776742,0.079322638,-0.224352978
21,1534,630,3933,4109,3957,5846,6053,5659,6962,7102,6757,7031,6963,7201,3541,3643,3671,5405,5605,5470,6749,6763,6217,7286,7194,7132,3318,3258,3238,4601,4517,4227,5173,4824,172,6227,6040,5679,6963.333333,7204,6615.444444,0.240880417,0.064705882,-0.224197069
22,1567,660,3911,4099,3921,5782,6006,5559,6953,7099,6764,7053,6878,7128,3544,3647,3696,5455,5609,5471,6814,6792,6183,7300,7198,7160,3317,3231,3214,4585,4509,4198,5088,4813,169,6183,6000,5650,6972,7219.333333,6613.777778,0.246228744,0.072905526,-0.225366386
23,1600,690,3931,4127,3974,5841,6049,5647,6982,7131,6809,7110,6967,7267,3557,3626,3686,5441,5582,5449,6814,6757,6192,7288,7140,7089,3323,3268,3247,4604,4517,4222,5124,4804,169,6211,6042,5697,7016.666667,7172.333333,6628.666667,0.273793198,0.047771836,-0.214920486
24,1633,720,3904,4133,3912,5784,6016,5586,6945,7077,6773,7069,6894,7114,3538,3647,3679,5438,5605,5480,6760,6795,6180,7242,7145,7129,3330,3264,3232,4563,4505,4224,5119,4809,167,6214,5999,5634,6973,7172,6593,0.246845858,0.047593583,-0.239943873
25,1666,750,3930,4132,3926,5870,6074,5637,6960,7114,6782,7095,6973,7239,3545,3648,3655,5436,5615,5462,6779,6750,6163,7307,7211,7109,3341,3255,3237,4594,4513,4237,5173,4849,174,6214,6037,5677,6997,7209,6627.666667,0.26165661,0.067379679,-0.215622077
26,1699,780,3904,4128,3936,5819,6016,5609,6976,7098,6759,7060,6961,7187,3543,3635,3666,5434,5597,5456,6740,6766,6196,7198,7167,7110,3321,3246,3226,4595,4535,4188,5167,4843,167,6224,6015,5698,6972.333333,7158.333333,6609.555556,0.246434449,0.040285205,-0.228328656
27,1732,810,3901,4095,3954,5836,6038,5624,6956,7106,6751,7101,6939,7239,3512,3633,3665,5431,5601,5449,6736,6775,6164,7247,7151,7113,3328,3223,3221,4632,4517,4211,5121,4801,157,6214,6050,5631,6986,7170.333333,6595.777778,0.254868349,0.046702317,-0.237995011
28,1765,840,3891,4113,3917,5825,6013,5583,6971,7085,6781,7089,6906,7154,3505,3639,3633,5409,5579,5437,6730,6749,6157,7235,7115,7105,3325,3245,3246,4607,4536,4248,5164,4858,163,6233,6016,5661,6985,7151.666667,6599.222222,0.254251234,0.036720143,-0.235578422
29,1798,870,3904,4121,3914,5797,6021,5588,6957,7049,6771,7047,6925,7126,3510,3625,3669,5421,5571,5463,6728,6752,6137,7234,7171,7071,3319,3244,3234,4616,4573,4232,5181,4822,163,6209,6019,5701,6955.666667,7158.666667,6605.111111,0.236149205,0.040463458,-0.231446835
30,1831,900,3866,4103,3927,5816,6024,5644,7006,7092,6769,7096,6938,7184,3526,3624,3626,5379,5568,5425,6685,6717,6138,7262,7105,7087,3327,3251,3220,4614,4533,4251,5170,4866,161,6227,6047,5722,6985.666667,7151.333333,6619.666667,0.254662644,0.036541889,-0.221234799
31,1864,930,3875,4081,3920,5788,5948,5592,6959,7057,6750,7106,6925,7176,3495,3620,3648,5397,5578,5463,6722,6723,6155,7225,7095,7068,3290,3236,3245,4621,4539,4259,5207,4838,165,6210,6055,5694,6971,7129.333333,6598.111111,0.245611629,0.024777184,-0.236357967
32,1897,960,3905,4109,3914,5799,6037,5639,6946,7093,6773,7125,6959,7221,3514,3606,3648,5388,5531,5466,6683,6732,6190,7229,7086,7078,3325,3258,3213,4657,4566,4270,5194,4891,162,6263,6073,5652,6997,7131,6593.333333,0.26165661,0.025668449,-0.239710009
33,1930,990,3885,4115,3943,5779,5986,5636,6945,7087,6817,7107,6933,7185,3524,3625,3649,5376,5545,5457,6712,6723,6147,7268,7096,7121,3316,3278,3271,4638,4557,4272,5183,4892,167,6275,6092,5711,7003.666667,7161.666667,6625.444444,0.265770708,0.042067736,-0.217181166
34,1963,1020,3904,4084,3895,5742,5989,5617,6956,7035,6737,7115,6947,7204,3488,3600,3639,5345,5556,5448,6720,6721,6152,7263,7108,7101,3329,3255,3217,4663,4557,4250,5204,4868,160,6248,6083,5684,6962.333333,7157.333333,6601.222222,0.240263302,0.039750446,-0.234175242
35,1996,1050,3872,4109,3939,5792,6006,5605,6927,7083,6760,7136,6998,7178,3475,3572,3617,5349,5517,5412,6654,6687,6154,7250,7050,7075,3324,3264,3223,4625,4564,4263,5195,4849,161,6262,6069,5688,6993,7125,6602,0.259188151,0.022459893,-0.23362956
36,2029,1080,3878,4116,3926,5770,5993,5602,6941,7021,6733,7095,6887,7219,3497,3566,3622,5352,5531,5397,6647,6680,6130,7241,7054,7102,3333,3242,3225,4658,4573,4275,5172,4855,161,6239,6081,5704,6949.666667,7132.333333,6595.333333,0.232446517,0.026381462,-0.238306829
37,2062,1110,3886,4090,3920,5801,5993,5610,6925,7018,6763,7131,6977,7194,3472,3572,3619,5322,5505,5399,6665,6634,6116,7254,7045,7071,3282,3238,3222,4646,4543,4249,5221,4898,154,6269,6077,5694,6970.666667,7123.333333,6596,0.245405924,0.021568627,-0.237839102
38,2095,1140,3892,4046,3885,5743,5950,5562,6924,7036,6713,7056,6919,7200,3452,3580,3604,5314,5519,5413,6675,6664,6124,7228,7091,7070,3304,3238,3195,4640,4550,4270,5202,4860,157,6286,6077,5698,6935,7129.666667,6587.555556,0.223395502,0.024955437,-0.243763642
39,2128,1170,3875,4083,3915,5804,5986,5632,6952,7038,6756,7112,6941,7212,3488,3573,3601,5319,5507,5406,6650,6673,6089,7245,7070,7054,3329,3235,3227,4632,4573,4279,5208,4892,155,6277,6083,5725,6968.666667,7123,6605.555556,0.244171695,0.021390374,-0.231135017
40,2161,1200,3875,4073,3892,5768,5942,5635,6896,6979,6752,7092,6918,7158,3467,3581,3618,5315,5500,5373,6635,6652,6065,7208,7050,6991,3311,3259,3228,4630,4596,4247,5198,4894,153,6270,6052,5695,6941,7083,6573,0.22709819,0,-0.253975678
