"","WELLNUM","Time","E01","E02","E03","E04","E05","E06","E07","E08","E09","F01","F02","F03","F04","F05","F06","F07","F08","F09","G01","G02","G03","G04","G05","G06","G07","G08","G09","X","X.1","logE04","logF06","logG06","e4smooth","f6smooth","g6smooth","navabsumm"
"1",1,30,1,1,1,1,0.973782772,1,0.489884393,0.530655391,0.330698287,1,1,1,1,1,1,1,1,1,1,0.714285714,1,0.831325301,0.976190476,1,0.350719424,0.388059701,0.4375,NA,NA,0,0,0,0.905940594,0.910087719333333,0.976449275333333,1
"2",2,60,0.681818182,0.821428571,0.75,0.886138614,0.943820225,0.755725191,0.339595376,0.507399577,0.229249012,0.849056604,0.88,0.914285714,0.934210526,0.860465116,0.894736842,0.927719821,0.872556685,0.923426839,0.772727273,1,1,0.891566265,0.976190476,0.961956522,0.264388489,0.154850746,0.157407407,NA,NA,-0.0524983383987962,-0.0483046796256485,-0.016844556529955,0.905940594,0.910087719333333,0.976449275333333,0.886138614
"3",3,90,0.681818182,0.857142857,0.833333333,0.831683168,0.936329588,0.770992366,0.281791908,0.378435518,0.163372859,0.735849057,0.72,0.657142857,0.872807018,0.83255814,0.835526316,0.897168405,0.881939015,0.902956785,0.681818182,0.5,0.608695652,0.807228916,1,0.967391304,0.223021583,0.152985075,0.18287037,NA,NA,-0.0800420878862065,-0.0780398668793871,-0.0143978208567933,0.853135313333333,0.853070175333333,0.967391304333333,0.831683168
"4",4,120,0.863636364,0.714285714,0.916666667,0.841584158,0.966292135,0.595419847,0.156069364,0.446088795,0.115942029,0.867924528,0.9,0.942857143,0.960526316,0.930232558,0.828947368,0.923248882,0.946833464,0.903714936,0.636363636,0.464285714,0.565217391,0.771084337,0.938095238,0.972826087,0.170863309,0.141791045,0.122685185,NA,NA,-0.0749024482829424,-0.0814730430478037,-0.0119647920102335,0.821782178,0.853070175333333,0.963768116,0.841584158
"5",5,150,0.545454545,0.464285714,0.833333333,0.792079208,1,0.595419847,0.170520231,0.342494715,0.150197628,0.830188679,0.92,0.885714286,0.916666667,0.893023256,0.894736842,0.902384501,0.853010164,0.86884003,0.590909091,0.785714286,0.695652174,0.807228916,0.942857143,0.951086957,0,0.085820896,0.113425926,NA,NA,-0.10123138674727,-0.0483046796256485,-0.0217797741048539,0.806930693,0.894736842,0.97192029,0.792079208
"6",6,180,0.772727273,0.642857143,0.583333333,0.787128713,0.970037453,0.564885496,0.065028902,0.071881607,0.019762846,0.886792453,0.8,0.914285714,0.960526316,0.841860465,0.960526316,0.94485842,0.929632525,0.943138741,0.636363636,0.571428571,0.782608696,1,0.966666667,0.991847826,0.03057554,0.063432836,0.141203704,NA,NA,-0.103954245055156,-0.0174907320651476,-0.00355495425511809,0.795379538,0.929824561333333,0.970108695666667,0.787128713
"7",7,210,0.681818182,0.571428571,0.625,0.806930693,1,0.534351145,0.031791908,0.133192389,0,0.849056604,0.82,0.828571429,0.960526316,0.88372093,0.934210526,0.912816692,0.931978108,0.896891585,0.681818182,0.75,0.869565217,0.819277108,0.961904762,0.967391304,0.089928058,0,0.006944444,NA,NA,-0.0931637650799673,-0.0295552437085198,-0.0143978208567933,0.800330033,0.921052631666667,0.976449275333333,0.806930693
"8",8,240,0.636363636,0.392857143,0.625,0.806930693,0.985018727,0.572519084,0,0,0.007905138,0.849056604,0.7,0.742857143,0.925438596,0.865116279,0.868421053,0.847988077,0.892885066,0.908263836,0.454545455,0.428571429,0.52173913,0.843373494,0.961904762,0.970108696,0.050359712,0.01119403,0,NA,NA,-0.0931637650799673,-0.0612696565546765,-0.013179602405611,0.694719472,0.752192982333333,0.707427536333333,0.806930693
"9",9,270,0.863636364,0.607142857,0.708333333,0.47029703,0.325842697,0.564885496,0.976878613,0.866807611,1,0.41509434,0.52,0.885714286,0.622807018,0.334883721,0.453947368,0.636363636,0.505082095,0.463229719,0.454545455,0.428571429,0.47826087,0.807228916,0.30952381,0.184782609,0.841726619,1,1,NA,NA,-0.327627763883485,-0.342994497610341,-0.733338905251973,0.590759076,0.559210526333333,0.437500000333333,0.47029703
"10",10,300,0.545454545,0.785714286,0.958333333,0.495049505,0.382022472,0.664122137,1,1,0.77997365,0.264150943,0.36,0.6,0.451754386,0.274418605,0.355263158,0.456780924,0.338545739,0.343442002,0.409090909,0.392857143,0.52173913,0.759036145,0.266666667,0.157608696,0.920863309,0.817164179,0.958333333,NA,NA,-0.305351369403194,-0.449449827993124,-0.802419824152137,0.468646864666667,0.399122807,0.151268116,0.495049505
"11",11,330,0.545454545,0.607142857,0.875,0.440594059,0.213483146,0.580152672,0.705202312,0.699788584,0.588932806,0.320754717,0.36,0.685714286,0.429824561,0.302325581,0.388157895,0.341281669,0.332290852,0.312357847,0.5,0.535714286,0.695652174,0.722891566,0.20952381,0.111413043,0.84352518,0.832089552,0.907407407,NA,NA,-0.355961363201848,-0.410991576008191,-0.953063963818071,0.460396039333333,0.361842105333333,0.126811594,0.440594059
"12",12,360,0.409090909,0.5,0.791666667,0.445544554,0.262172285,0.526717557,0.778901734,0.507399577,0.550724638,0.283018868,0.36,0.6,0.456140351,0.293023256,0.342105263,0.347242921,0.321344801,0.229719484,0.363636364,0.392857143,0.391304348,0.734939759,0.247619048,0.111413043,0.926258993,0.800373134,0.976851852,NA,NA,-0.351108860451244,-0.465840244510417,-0.953063963818071,0.424092409,0.324561403666667,0.101449275,0.445544554
"13",13,390,0.5,0.5,0.666666667,0.386138614,0.329588015,0.450381679,0.784682081,0.697674419,0.707509881,0.283018868,0.22,0.371428571,0.412280702,0.213953488,0.243421053,0.31147541,0.239249414,0.228203184,0.636363636,0.571428571,0.695652174,0.771084337,0.333333333,0.081521739,0.877697842,0.792910448,0.793981481,NA,NA,-0.413256766600243,-0.613641863220467,-1.08872656464873,0.404290429,0.25,0.092391304,0.386138614
"14",14,420,0.272727273,0.464285714,0.625,0.381188119,0.265917603,0.473282443,0.796242775,0.558139535,0.532279315,0.113207547,0.12,0.171428571,0.328947368,0.139534884,0.164473684,0.170640835,0.157935887,0.188021228,0.272727273,0.25,0.304347826,0.65060241,0.185714286,0.08423913,0.764388489,0.805970149,0.712962963,NA,NA,-0.418860644059815,-0.783903579828632,-1.07448612708076,0.363036303666667,0.234649123,0.0887681156666666,0.381188119
"15",15,450,0.681818182,0.285714286,0.458333333,0.321782178,0.194756554,0.351145038,0.676300578,0.528541226,0.432147563,0.245283019,0.26,0.428571429,0.412280702,0.28372093,0.296052632,0.280178838,0.237685692,0.175132676,0.409090909,0.464285714,0.434782609,0.771084337,0.204761905,0.100543478,1,0.970149254,0.787037037,NA,NA,-0.492438013097752,-0.528631073551766,-0.997646095733341,0.344884488333333,0.217105263333333,0.0851449273333333,0.321782178
"16",16,480,0.272727273,0.607142857,0.458333333,0.331683168,0.213483146,0.603053435,0.799132948,0.634249471,0.645586298,0.169811321,0.14,0.228571429,0.315789474,0.195348837,0.190789474,0.177347243,0.157154027,0.158453374,0.363636364,0.142857143,0.260869565,0.614457831,0.219047619,0.070652174,0.764388489,0.652985075,0.752314815,NA,NA,-0.479276567160646,-0.719445589326984,-1.15087447016818,0.338283828333333,0.243421053,0.079710145,0.331683168
"17",17,510,0.272727273,0.464285714,0.458333333,0.361386139,0.243445693,0.480916031,0.761560694,0.566596195,0.545454545,0.132075472,0.08,0.257142857,0.390350877,0.237209302,0.243421053,0.184798808,0.186082877,0.109931766,0.272727273,0.25,0.347826087,0.43373494,0.147619048,0.067934783,0.847122302,0.916044776,0.925925926,NA,NA,-0.442028508862127,-0.613641863220467,-1.16790780749994,0.328382838333333,0.230263158,0.069746377,0.361386139
"18",18,540,0.409090909,0.285714286,0.375,0.292079208,0.187265918,0.335877863,0.624277457,0.503171247,0.459815547,0.132075472,0.22,0.285714286,0.434210526,0.31627907,0.256578947,0.116244411,0.149335418,0.122820318,0.545454545,0.357142857,0.52173913,0.590361446,0.2,0.070652174,0.836330935,0.867537313,0.75,NA,NA,-0.534499357686705,-0.590778981541876,-1.15087447016818,0.333333333333333,0.230263158,0.0769927536666666,0.292079208
"19",19,570,0.318181818,0.428571429,0.458333333,0.346534653,0.198501873,0.503816794,0.841040462,0.5602537,0.616600791,0.320754717,0.18,0.2,0.364035088,0.23255814,0.190789474,0.149776453,0.132916341,0.140257771,0.409090909,0.535714286,0.608695652,0.686746988,0.228571429,0.092391304,0.782374101,0.858208955,0.863425926,NA,NA,-0.460253330015562,-0.719445589326984,-1.03436890326625,0.288778877666667,0.188596491333333,0.0842391303333333,0.346534653
"20",20,600,0.227272727,0.107142857,0.208333333,0.227722772,0.101123596,0.305343511,0.570809249,0.289640592,0.399209486,0.150943396,0.16,0.314285714,0.399122807,0.227906977,0.118421053,0.115499255,0.110242377,0.062926459,0.363636364,0.357142857,0.52173913,0.662650602,0.2,0.089673913,0.908273381,0.805970149,0.854166667,NA,NA,-0.642593538293756,-0.926571081490328,-1.0473338790062,0.239273927,0.149122807333333,0.0878623186666666,0.227722772
"21",21,630,0.454545455,0.178571429,0.208333333,0.143564356,0.101123596,0.229007634,0.520231214,0.255813953,0.328063241,0.094339623,0.1,0.114285714,0.364035088,0.23255814,0.138157895,0.058122206,0.081313526,0.074298711,0.227272727,0.428571429,0.52173913,0.493975904,0.171428571,0.081521739,0.694244604,0.847014925,0.652777778,NA,NA,-0.842953372865527,-0.859624292383626,-1.08872656464873,0.221122112,0.160087719666667,0.0742753623333333,0.143564356
"22",22,660,0.409090909,0.464285714,0.25,0.292079208,0.269662921,0.519083969,0.800578035,0.630021142,0.536231884,0.132075472,0.2,0.257142857,0.412280702,0.213953488,0.223684211,0.070789866,0.096950743,0.093252464,0.454545455,0.357142857,0.260869565,0.385542169,0.123809524,0.051630435,0.762589928,0.688432836,0.821759259,NA,NA,-0.534499357686705,-0.650364669982835,-1.28709421589208,0.229372937333333,0.173245614333333,0.080615942,0.292079208
"23",23,690,0.409090909,0.357142857,0.416666667,0.252475248,0.078651685,0.244274809,0.615606936,0.334038055,0.552042161,0.188679245,0.16,0.2,0.385964912,0.218604651,0.157894737,0.076005961,0.057857701,0.076573161,0.272727273,0.535714286,0.652173913,0.638554217,0.223809524,0.108695652,0.90647482,0.85261194,0.8125,NA,NA,-0.597781192531192,-0.801632345798872,-0.963787828040426,0.252475247666667,0.173245614333333,0.0688405796666666,0.252475248
"24",24,720,0.227272727,0.178571429,0.208333333,0.212871287,0.078651685,0.145038168,0.612716763,0.319238901,0.442687747,0.132075472,0.08,0.2,0.372807018,0.176744186,0.138157895,0.073770492,0.042220485,0.075056861,0.181818182,0.428571429,0.47826087,0.445783133,0.09047619,0.046195652,0.607913669,0.84141791,0.638888889,NA,NA,-0.671882914129634,-0.859624292383626,-1.33539889893023,0.224422442333333,0.118421052666667,0.0688405796666666,0.212871287
"25",25,750,0.272727273,0.107142857,0.166666667,0.207920792,0.08988764,0.282442748,0.61416185,0.346723044,0.476943347,0.094339623,0.02,0.057142857,0.324561404,0.148837209,0.059210526,0,0.060203284,0.035633055,0.272727273,0.5,0.695652174,0.469879518,0.161904762,0.051630435,0.818345324,0.800373134,0.75462963,NA,NA,-0.682102079214169,-1.22760108082168,-1.28709421589208,0.212871287,0.135964912333333,0.0579710146666666,0.207920792
"26",26,780,0.227272727,0.214285714,0.166666667,0.217821782,0.119850187,0.282442748,0.700867052,0.431289641,0.463768116,0.132075472,0.1,0.2,0.407894737,0.213953488,0.210526316,0.078241431,0.052384676,0.079605762,0.409090909,0.428571429,0.47826087,0.578313253,0.142857143,0.076086957,0.847122302,0.860074627,0.939814815,NA,NA,-0.661898693315768,-0.676693609190572,-1.11868978460145,0.198019802,0.135964912333333,0.0543478263333333,0.217821782
"27",27,810,0.181818182,0.285714286,0.208333333,0.168316832,0.059925094,0.213740458,0.583815029,0.380549683,0.337285903,0.169811321,0.12,0.057142857,0.377192982,0.186046512,0.138157895,0.010432191,0,0.036391205,0.409090909,0.178571429,0.260869565,0.373493976,0.133333333,0.035326087,0.865107914,0.854477612,0.736111111,NA,NA,-0.773872451586873,-0.859624292383626,-1.45190446583216,0.232673267333333,0.138157895,0.060688406,0.168316832
"28",28,840,0.181818182,0.321428571,0.5,0.311881188,0.179775281,0.335877863,0.794797688,0.684989429,0.604743083,0.113207547,0,0,0.381578947,0.148837209,0.065789474,0.005216095,0.080531665,0.060652009,0.363636364,0.357142857,0.434782609,0.457831325,0.09047619,0.070652174,0.732014388,0.755597015,0.87037037,NA,NA,-0.506010820158488,-1.18184358586016,-1.15087447016818,0.244224422666667,0.0921052633333334,0.0570652173333333,0.311881188
"29",29,870,0.272727273,0.321428571,0.208333333,0.252475248,0.127340824,0.290076336,0.726878613,0.437632135,0.534914361,0.150943396,0.14,0.2,0.346491228,0,0.072368421,0.022354694,0.076622361,0.025018954,0.363636364,0.285714286,0.391304348,0.409638554,0.10952381,0.065217391,0.958633094,0.779850746,0.831018519,NA,NA,-0.597781192531192,-1.1404509031024,-1.18563657898862,0.247524752666667,0.105263158,0.0679347826666666,0.252475248
"30",30,900,0.409090909,0.214285714,0.291666667,0.178217822,0.119850187,0.229007634,0.576589595,0.241014799,0.39657444,0.150943396,0.2,0.228571429,0.385964912,0.148837209,0.177631579,0.044709389,0.086004691,0.049279757,0.409090909,0.285714286,0.217391304,0.301204819,0.123809524,0.067934783,0.877697842,0.878731343,0.856481481,NA,NA,-0.749048868148532,-0.750479823657105,-1.16790780749994,0.222772277333333,0.0986842106666667,0.069746377,0.178217822
"31",31,930,0.181818182,0.535714286,0.333333333,0.237623762,0.168539326,0.282442748,0.774566474,0.634249471,0.612648221,0.132075472,0.06,0.142857143,0,0.2,0.046052632,0.038002981,0.017200938,0.081122062,0.272727273,0.321428571,0.434782609,0.373493976,0.185714286,0.076086957,0.90647482,0.819029851,0.875,NA,NA,-0.62411013275867,-1.33674554395982,-1.11868978460145,0.226072607333333,0.122807017666667,0.0579710146666666,0.237623762
"32",32,960,0.136363636,0.357142857,0.583333333,0.262376238,0.146067416,0.435114504,0.771676301,0.585623679,0.544137022,0.113207547,0.06,0.171428571,0.372807018,0.106976744,0.144736842,0.066318927,0.038311181,0.015921152,0.136363636,0.25,0.347826087,0.34939759,0.080952381,0.029891304,0.728417266,0.666044776,0.574074074,NA,NA,-0.581075499223073,-0.839420907438417,-1.5244551385689,0.247524752333333,0.0745614036666667,0.0570652173333333,0.262376238
"33",33,990,0.181818182,0.178571429,0.208333333,0.242574257,0.037453184,0.190839695,0.63583815,0.429175476,0.44400527,0.075471698,0,0.028571429,0.372807018,0.16744186,0.032894737,0.023845007,0.050820954,0.06444276,0.363636364,0.214285714,0.260869565,0.385542169,0.095238095,0.065217391,0.863309353,0.757462687,0.856481481,NA,NA,-0.615155290180341,-1.48287358152414,-1.18563657898862,0.227722772333333,0.0701754386666667,0.0407608693333333,0.242574257
"34",34,1020,0.318181818,0.107142857,0.166666667,0.178217822,0.06741573,0.213740458,0.630057803,0.378435518,0.454545455,0.094339623,0.04,0.085714286,0.307017544,0.16744186,0.032894737,0.032786885,0.053166536,0.044730857,0.136363636,0.178571429,0.086956522,0.21686747,0.038095238,0.027173913,0.791366906,0.755597015,0.553240741,NA,NA,-0.749048868148532,-1.48287358152414,-1.56584781936839,0.221122112,0.0350877193333334,0.0425724636666666,0.178217822
"35",35,1050,0.272727273,0.392857143,0.458333333,0.242574257,0.131086142,0.351145038,0.722543353,0.482029598,0.529644269,0.094339623,0.06,0.2,0.364035088,0.16744186,0.039473684,0.073025335,0.05629398,0.040181956,0.318181818,0.071428571,0.043478261,0.21686747,0.095238095,0.035326087,0.755395683,0.75,0.74537037,NA,NA,-0.615155290180341,-1.40369233987737,-1.45190446583216,0.140264026333333,0.057017544,0.0307971013333333,0.242574257
"36",36,1080,0.181818182,0.142857143,0.25,0,0.018726592,0.061068702,0.505780347,0.190274841,0.34914361,0.056603774,0.1,0.114285714,0.364035088,0.079069767,0.098684211,0.018628912,0.032056294,0.044730857,0.090909091,0.321428571,0.304347826,0.144578313,0.080952381,0.029891304,0.705035971,0.695895522,0.597222222,NA,NA,-Inf,-1.00575232680448,-1.5244551385689,0.127062706,0.0460526316666667,0.0226449273333333,0
"37",37,1110,0.181818182,0.035714286,0.166666667,0.138613861,0.056179775,0.167938931,0.563583815,0.365750529,0.339920949,0.018867925,0.06,0.142857143,0.26754386,0.111627907,0,0.033532042,0.026583268,0.077331312,0.181818182,0.285714286,0.347826087,0.240963855,0.042857143,0.002717391,0.674460432,0.712686567,0.576388889,NA,NA,-0.858193339314225,-Inf,-2.5658478673145,0.118811881,0.0548245616666667,0.0163043476666666,0.138613861
"38",38,1140,0.045454545,0.392857143,0.416666667,0.217821782,0.08988764,0.198473282,0.615606936,0.389006342,0.516469038,0,0.06,0.028571429,0.26754386,0.125581395,0.065789474,0.020119225,0.039874902,0.050037908,0.045454545,0.142857143,0.217391304,0.144578313,0.057142857,0.016304348,0.661870504,0.755597015,0.601851852,NA,NA,-0.661898693315768,-1.18184358586016,-1.7876965636574,0.161716171333333,0.024122807,0.00815217399999998,0.217821782
"39",39,1170,0,0.142857143,0.166666667,0.128712871,0.071161049,0.152671756,0.559248555,0.374207188,0.465085639,0.075471698,0.1,0.142857143,0.324561404,0.106976744,0.006578947,0.008941878,0.008600469,0,0,0.142857143,0.043478261,0.120481928,0.052380952,0.005434783,0.627697842,0.53358209,0.418981481,NA,NA,-0.890378022444617,-2.18184361226526,-2.26481779174033,0.133663366333333,0.024122807,0.00724637699999998,0.128712871
"40",40,1200,0.090909091,0,0,0.054455446,0,0,0.520231214,0.169133192,0.338603426,0.056603774,0.04,0.114285714,0.320175439,0.130232558,0,0.016393443,0.035965598,0.023502654,0.181818182,0,0,0,0,0,0.753597122,0.751865672,0.634259259,NA,NA,-1.26395868065612,-Inf,-Inf,0.133663366333333,0.024122807,0.00724637699999998,0.054455446
