WELLNUM,E01,E02,E03,E04,E05,E06,E07,E08,E09,F01,F02,F03,F04,F05,F06,F07,F08,F09,G01,G02,G03,G04,G05,G06,G07,G08,G09,loge4,loge4n,,Time
1,273,299,259,2155,2090,2024,10533,10170,10243,352,279,187,1821,1813,1805,11077,11079,10672,187,163,168,1608,1760,1601,9280,9236,8882,3.333447274,2.398776035,3.307299305,0
2,266,294,253,2132,2082,1992,10429,10159,10166,344,273,184,1806,1783,1789,10980,10916,10571,182,171,168,1613,1760,1587,9232,9111,8761,3.3287872,1.971267721,0.010900546,30
3,266,295,255,2121,2080,1994,10389,10098,10116,338,265,175,1792,1777,1780,10939,10928,10544,180,157,159,1606,1765,1589,9209,9110,8772,3.326540669,1.765174211,,60
4,270,291,257,2123,2088,1971,10302,10130,10080,345,274,185,1812,1798,1779,10974,11011,10545,179,156,158,1603,1752,1591,9180,9104,8746,3.326949994,1.802725141,,90
5,263,284,255,2113,2097,1971,10312,10081,10106,343,275,183,1802,1790,1789,10946,10891,10499,178,165,161,1606,1753,1583,9085,9074,8742,3.324899497,1.614615566,,120
6,268,289,249,2112,2089,1967,10239,9953,10007,346,269,184,1812,1779,1799,11003,10989,10597,179,159,163,1622,1758,1598,9102,9062,8754,3.324693914,1.595755668,,150
7,266,287,250,2116,2097,1963,10216,9982,9992,344,270,181,1812,1788,1795,10960,10992,10536,180,164,165,1607,1757,1589,9135,9028,8696,3.325515663,1.671141753,,180
8,265,282,250,2116,2093,1968,10194,9919,9998,344,264,178,1804,1784,1785,10873,10942,10551,175,155,157,1609,1757,1590,9113,9034,8693,3.325515663,1.671141753,,210
9,270,288,252,2048,1917,1967,10870,10329,10751,321,255,183,1735,1670,1722,10589,10446,9964,175,155,156,1606,1620,1301,9553,9564,9125,3.311329952,0.369765587,,240
10,263,293,258,2053,1932,1980,10886,10392,10584,313,247,173,1696,1657,1707,10348,10233,9806,174,154,157,1602,1611,1291,9597,9466,9107,3.312388949,0.466916413,,270
11,263,288,256,2042,1887,1969,10682,10250,10439,316,247,176,1691,1663,1712,10193,10225,9765,176,158,161,1599,1599,1274,9554,9474,9085,3.310055738,0.252871027,,300
12,260,285,254,2043,1900,1962,10733,10159,10410,314,247,173,1697,1661,1705,10201,10211,9656,173,154,154,1600,1607,1274,9600,9457,9115,3.310268367,0.272377287,,330
13,262,285,251,2031,1918,1952,10737,10249,10529,314,240,165,1687,1644,1690,10153,10106,9654,179,159,161,1603,1625,1263,9573,9453,9036,3.307709923,0.037669486,,360
14,257,284,250,2030,1901,1955,10745,10183,10396,305,235,158,1668,1628,1678,9964,10002,9601,171,150,152,1593,1594,1264,9510,9460,9001,3.307496038,0.018047948,,390
15,266,279,246,2018,1882,1939,10662,10169,10320,312,242,167,1687,1659,1698,10111,10104,9584,174,156,155,1603,1598,1270,9641,9548,9033,3.304921162,-0.218167372,,420
16,257,288,246,2020,1887,1972,10747,10219,10482,308,236,160,1665,1640,1682,9973,10001,9562,173,147,151,1590,1601,1259,9510,9378,9018,3.305351369,-0.178700768,,450
17,257,284,246,2026,1895,1956,10721,10187,10406,306,233,161,1682,1649,1690,9983,10038,9498,171,150,153,1575,1586,1258,9556,9519,9093,3.306639441,-0.060534985,,480
18,260,279,244,2012,1880,1937,10626,10157,10341,306,240,162,1692,1666,1692,9891,9991,9515,177,153,157,1588,1597,1259,9550,9493,9017,3.303627976,-0.3368023,,510
19,258,283,246,2023,1883,1959,10776,10184,10460,316,238,159,1676,1648,1682,9936,9970,9538,174,158,159,1596,1603,1267,9520,9488,9066,3.305995883,-0.119574068,,540
20,256,274,240,1999,1857,1933,10589,10056,10295,307,237,163,1684,1647,1671,9890,9941,9436,173,153,157,1594,1597,1266,9590,9460,9062,3.300812794,-0.59506296,,570
21,261,276,240,1982,1857,1923,10554,10040,10241,304,234,156,1676,1648,1674,9813,9904,9451,170,155,157,1580,1591,1263,9471,9482,8975,3.29710365,-0.935334346,,600
22,260,284,241,2012,1902,1961,10748,10217,10399,306,239,161,1687,1644,1687,9830,9924,9476,175,153,151,1571,1581,1252,9509,9397,9048,3.303627976,-0.3368023,,630
23,260,281,245,2004,1851,1925,10620,10077,10411,309,237,159,1681,1645,1677,9837,9874,9454,171,158,160,1592,1602,1273,9589,9485,9044,3.301897717,-0.495533721,,660
24,256,276,240,1996,1851,1912,10618,10070,10328,306,233,159,1678,1636,1674,9834,9854,9452,169,155,156,1576,1574,1250,9423,9479,8969,3.300160537,-0.654900069,,690
25,257,274,239,1995,1854,1930,10619,10083,10354,304,230,154,1667,1630,1662,9735,9877,9400,171,157,161,1578,1589,1252,9540,9457,9019,3.2999429,-0.674865759,,720
26,256,277,239,1997,1862,1930,10679,10123,10344,306,234,159,1686,1644,1685,9840,9867,9458,174,155,156,1587,1585,1261,9556,9489,9099,3.300378065,-0.634944379,,750
27,255,279,240,1987,1846,1921,10598,10099,10248,308,235,154,1679,1638,1674,9749,9800,9401,174,148,151,1570,1583,1246,9566,9486,9011,3.298197867,-0.834952499,,780
28,255,280,247,2016,1878,1937,10744,10243,10451,305,229,152,1680,1630,1663,9742,9903,9433,173,153,155,1577,1574,1259,9492,9433,9069,3.304490528,-0.25767311,,810
29,257,280,240,2004,1864,1931,10697,10126,10398,307,236,159,1672,1598,1664,9765,9898,9386,173,151,154,1573,1578,1257,9618,9446,9052,3.301897717,-0.495533721,,840
30,260,277,242,1989,1862,1923,10593,10033,10293,307,239,160,1681,1630,1680,9795,9910,9418,174,151,150,1564,1581,1258,9573,9499,9063,3.298634783,-0.79487047,,870
31,255,286,243,2001,1875,1930,10730,10219,10457,306,232,157,1593,1641,1660,9786,9822,9460,171,152,155,1570,1594,1261,9589,9467,9071,3.301247089,-0.555221423,,900
32,254,281,249,2006,1869,1950,10728,10196,10405,305,232,158,1678,1621,1675,9824,9849,9374,168,150,153,1568,1572,1244,9490,9385,8941,3.302330929,-0.455791539,,930
33,255,276,240,2002,1840,1918,10634,10122,10329,303,229,153,1678,1634,1658,9767,9865,9438,173,149,151,1571,1575,1257,9565,9434,9063,3.301464073,-0.535315585,,960
34,258,274,239,1989,1848,1921,10630,10098,10337,304,231,155,1663,1634,1658,9779,9868,9412,168,148,147,1557,1563,1243,9525,9433,8932,3.298634783,-0.79487047,,990
35,257,282,246,2002,1865,1939,10694,10147,10394,304,232,159,1676,1634,1659,9833,9872,9406,172,145,146,1557,1575,1246,9505,9430,9015,3.301464073,-0.535315585,,1020
36,255,275,241,1953,1835,1901,10544,10009,10257,302,234,156,1676,1615,1668,9760,9841,9412,167,152,152,1551,1572,1244,9477,9401,8951,3.290702243,-1.52258995,,1050
37,255,272,239,1981,1845,1915,10584,10092,10250,300,232,157,1654,1622,1653,9780,9834,9455,169,151,153,1559,1564,1234,9460,9410,8942,3.296884476,-0.955441101,,1080
38,252,282,245,1997,1854,1919,10620,10103,10384,299,232,153,1654,1625,1663,9762,9851,9419,166,147,150,1551,1567,1239,9453,9433,8953,3.300378065,-0.634944379,,1110
39,251,275,239,1979,1849,1913,10581,10096,10345,303,234,157,1667,1621,1654,9747,9811,9353,165,147,146,1549,1566,1235,9434,9314,8874,3.296445794,-0.995685078,,1140
40,253,271,235,1964,1830,1893,10554,9999,10249,302,231,156,1666,1626,1653,9757,9846,9384,169,143,145,1539,1555,1233,9504,9431,8967,3.293141483,-1.298817662,,1170
